task_id,benchmark,model,status,error_type,latency_sec
HumanEval/40,humaneval,llama-3.3-70b,FAIL,AssertionError,0.542
HumanEval/41,humaneval,llama-3.3-70b,PASS,None,0.346
HumanEval/42,humaneval,llama-3.3-70b,PASS,None,0.301
HumanEval/43,humaneval,llama-3.3-70b,PASS,None,0.458
HumanEval/44,humaneval,llama-3.3-70b,PASS,None,0.528
HumanEval/45,humaneval,llama-3.3-70b,PASS,None,0.367
HumanEval/46,humaneval,llama-3.3-70b,PASS,None,0.847
HumanEval/47,humaneval,llama-3.3-70b,PASS,None,0.418
HumanEval/48,humaneval,llama-3.3-70b,PASS,None,0.344
HumanEval/49,humaneval,llama-3.3-70b,PASS,None,0.365
HumanEval/50,humaneval,llama-3.3-70b,PASS,None,0.357
HumanEval/51,humaneval,llama-3.3-70b,PASS,None,0.455
HumanEval/52,humaneval,llama-3.3-70b,PASS,None,0.578
HumanEval/53,humaneval,llama-3.3-70b,PASS,None,0.375
HumanEval/54,humaneval,llama-3.3-70b,PASS,None,0.389
HumanEval/55,humaneval,llama-3.3-70b,PASS,None,0.433
HumanEval/56,humaneval,llama-3.3-70b,PASS,None,0.377
HumanEval/57,humaneval,llama-3.3-70b,PASS,None,0.451
HumanEval/58,humaneval,llama-3.3-70b,PASS,None,0.365
HumanEval/59,humaneval,llama-3.3-70b,PASS,None,0.388
HumanEval/60,humaneval,llama-3.3-70b,PASS,None,0.417
HumanEval/61,humaneval,llama-3.3-70b,PASS,None,0.459
HumanEval/62,humaneval,llama-3.3-70b,PASS,None,0.416
HumanEval/63,humaneval,llama-3.3-70b,PASS,None,0.63
HumanEval/64,humaneval,llama-3.3-70b,FAIL,AssertionError,0.49
HumanEval/65,humaneval,llama-3.3-70b,PASS,None,0.474
HumanEval/66,humaneval,llama-3.3-70b,PASS,None,0.383
HumanEval/67,humaneval,llama-3.3-70b,PASS,None,0.457
HumanEval/68,humaneval,llama-3.3-70b,PASS,None,0.495
HumanEval/69,humaneval,llama-3.3-70b,PASS,None,0.57
HumanEval/70,humaneval,llama-3.3-70b,FAIL,ValueError,0.433
HumanEval/71,humaneval,llama-3.3-70b,PASS,None,0.477
HumanEval/72,humaneval,llama-3.3-70b,PASS,None,0.338
HumanEval/73,humaneval,llama-3.3-70b,PASS,None,0.445
HumanEval/74,humaneval,llama-3.3-70b,PASS,None,0.567
HumanEval/75,humaneval,llama-3.3-70b,FAIL,TimeoutError,0.543
HumanEval/76,humaneval,llama-3.3-70b,PASS,None,0.525
HumanEval/77,humaneval,llama-3.3-70b,PASS,None,0.43
HumanEval/78,humaneval,llama-3.3-70b,PASS,None,0.552
HumanEval/79,humaneval,llama-3.3-70b,PASS,None,0.29
HumanEval/80,humaneval,llama-3.3-70b,PASS,None,0.344
HumanEval/81,humaneval,llama-3.3-70b,PASS,None,0.755
HumanEval/82,humaneval,llama-3.3-70b,PASS,None,0.434
HumanEval/83,humaneval,llama-3.3-70b,FAIL,AssertionError,0.386
HumanEval/84,humaneval,llama-3.3-70b,FAIL,AssertionError,0.343
HumanEval/85,humaneval,llama-3.3-70b,PASS,None,0.301
HumanEval/86,humaneval,llama-3.3-70b,FAIL,AssertionError,0.796
HumanEval/87,humaneval,llama-3.3-70b,PASS,None,0.442
HumanEval/88,humaneval,llama-3.3-70b,PASS,None,0.495
HumanEval/89,humaneval,llama-3.3-70b,PASS,None,0.324
HumanEval/90,humaneval,llama-3.3-70b,PASS,None,0.383
HumanEval/91,humaneval,llama-3.3-70b,FAIL,AssertionError,0.385
HumanEval/92,humaneval,llama-3.3-70b,PASS,None,0.34
HumanEval/93,humaneval,llama-3.3-70b,FAIL,AssertionError,1.734
HumanEval/94,humaneval,llama-3.3-70b,PASS,None,0.393
HumanEval/95,humaneval,llama-3.3-70b,PASS,None,0.409
HumanEval/96,humaneval,llama-3.3-70b,PASS,None,0.416
HumanEval/97,humaneval,llama-3.3-70b,PASS,None,0.274
HumanEval/98,humaneval,llama-3.3-70b,PASS,None,0.745
HumanEval/99,humaneval,llama-3.3-70b,PASS,None,0.43
HumanEval/100,humaneval,llama-3.3-70b,PASS,None,0.424
HumanEval/101,humaneval,llama-3.3-70b,PASS,None,0.325
HumanEval/102,humaneval,llama-3.3-70b,PASS,None,0.385
HumanEval/103,humaneval,llama-3.3-70b,FAIL,AssertionError,0.436
HumanEval/104,humaneval,llama-3.3-70b,PASS,None,0.358
HumanEval/105,humaneval,llama-3.3-70b,PASS,None,0.524
HumanEval/106,humaneval,llama-3.3-70b,PASS,None,0.453
HumanEval/107,humaneval,llama-3.3-70b,PASS,None,0.341
HumanEval/108,humaneval,llama-3.3-70b,FAIL,AssertionError,0.318
HumanEval/109,humaneval,llama-3.3-70b,PASS,None,0.427
HumanEval/110,humaneval,llama-3.3-70b,PASS,None,0.43
HumanEval/111,humaneval,llama-3.3-70b,PASS,None,0.475
HumanEval/112,humaneval,llama-3.3-70b,PASS,None,0.375
HumanEval/113,humaneval,llama-3.3-70b,PASS,None,0.469
HumanEval/114,humaneval,llama-3.3-70b,PASS,None,0.381
HumanEval/115,humaneval,llama-3.3-70b,FAIL,AssertionError,0.35
HumanEval/116,humaneval,llama-3.3-70b,FAIL,AssertionError,0.351
HumanEval/117,humaneval,llama-3.3-70b,PASS,None,0.465
HumanEval/118,humaneval,llama-3.3-70b,FAIL,AssertionError,0.486
HumanEval/119,humaneval,llama-3.3-70b,PASS,None,0.45
HumanEval/120,humaneval,llama-3.3-70b,FAIL,AssertionError,0.354
HumanEval/121,humaneval,llama-3.3-70b,FAIL,AssertionError,0.567
HumanEval/122,humaneval,llama-3.3-70b,PASS,None,0.396
HumanEval/123,humaneval,llama-3.3-70b,PASS,None,0.372
HumanEval/124,humaneval,llama-3.3-70b,PASS,None,0.53
HumanEval/125,humaneval,llama-3.3-70b,FAIL,AssertionError,0.432
HumanEval/126,humaneval,llama-3.3-70b,PASS,None,0.348
HumanEval/127,humaneval,llama-3.3-70b,FAIL,AssertionError,0.6
HumanEval/128,humaneval,llama-3.3-70b,PASS,None,0.442
HumanEval/129,humaneval,llama-3.3-70b,PASS,None,0.831
HumanEval/130,humaneval,llama-3.3-70b,FAIL,IndexError,0.457
HumanEval/131,humaneval,llama-3.3-70b,PASS,None,0.382
HumanEval/132,humaneval,llama-3.3-70b,FAIL,AssertionError,0.563
HumanEval/133,humaneval,llama-3.3-70b,PASS,None,0.381
HumanEval/134,humaneval,llama-3.3-70b,PASS,None,0.434
HumanEval/135,humaneval,llama-3.3-70b,PASS,None,0.367
HumanEval/136,humaneval,llama-3.3-70b,PASS,None,0.48
HumanEval/137,humaneval,llama-3.3-70b,FAIL,AttributeError,0.751
HumanEval/138,humaneval,llama-3.3-70b,PASS,None,0.419
HumanEval/139,humaneval,llama-3.3-70b,PASS,None,0.368
HumanEval/140,humaneval,llama-3.3-70b,FAIL,AssertionError,0.43
HumanEval/141,humaneval,llama-3.3-70b,FAIL,IndexError,0.599
HumanEval/142,humaneval,llama-3.3-70b,PASS,None,0.4
HumanEval/143,humaneval,llama-3.3-70b,PASS,None,0.429
HumanEval/144,humaneval,llama-3.3-70b,PASS,None,0.383
HumanEval/145,humaneval,llama-3.3-70b,FAIL,AssertionError,0.501
HumanEval/146,humaneval,llama-3.3-70b,PASS,None,0.55
HumanEval/147,humaneval,llama-3.3-70b,PASS,None,0.396
HumanEval/148,humaneval,llama-3.3-70b,PASS,None,0.482
HumanEval/149,humaneval,llama-3.3-70b,PASS,None,0.402
HumanEval/150,humaneval,llama-3.3-70b,PASS,None,0.84
HumanEval/151,humaneval,llama-3.3-70b,PASS,None,0.297
HumanEval/152,humaneval,llama-3.3-70b,PASS,None,0.327
HumanEval/153,humaneval,llama-3.3-70b,PASS,None,0.491
HumanEval/154,humaneval,llama-3.3-70b,PASS,None,0.345
HumanEval/155,humaneval,llama-3.3-70b,PASS,None,0.329
HumanEval/156,humaneval,llama-3.3-70b,PASS,None,0.497
HumanEval/157,humaneval,llama-3.3-70b,PASS,None,0.29
HumanEval/158,humaneval,llama-3.3-70b,PASS,None,0.461
HumanEval/159,humaneval,llama-3.3-70b,PASS,None,0.391
HumanEval/160,humaneval,llama-3.3-70b,FAIL,AssertionError,0.515
HumanEval/161,humaneval,llama-3.3-70b,PASS,None,0.389
HumanEval/162,humaneval,llama-3.3-70b,PASS,None,0.36
HumanEval/163,humaneval,llama-3.3-70b,FAIL,AssertionError,0.418
mbpp/11,mbpp_sanitized,llama-3.3-70b,PASS,None,0.317
mbpp/12,mbpp_sanitized,llama-3.3-70b,PASS,None,0.283
mbpp/13,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.402
mbpp/14,mbpp_sanitized,llama-3.3-70b,PASS,None,0.289
mbpp/15,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.368
mbpp/16,mbpp_sanitized,llama-3.3-70b,PASS,None,0.32
mbpp/17,mbpp_sanitized,llama-3.3-70b,PASS,None,0.271
mbpp/18,mbpp_sanitized,llama-3.3-70b,PASS,None,0.342
mbpp/19,mbpp_sanitized,llama-3.3-70b,PASS,None,0.259
mbpp/20,mbpp_sanitized,llama-3.3-70b,PASS,None,0.679
mbpp/21,mbpp_sanitized,llama-3.3-70b,PASS,None,0.298
mbpp/22,mbpp_sanitized,llama-3.3-70b,PASS,None,0.61
mbpp/23,mbpp_sanitized,llama-3.3-70b,PASS,None,0.461
mbpp/24,mbpp_sanitized,llama-3.3-70b,PASS,None,0.345
mbpp/25,mbpp_sanitized,llama-3.3-70b,PASS,None,0.424
mbpp/26,mbpp_sanitized,llama-3.3-70b,PASS,None,0.405
mbpp/27,mbpp_sanitized,llama-3.3-70b,PASS,None,0.346
mbpp/28,mbpp_sanitized,llama-3.3-70b,PASS,None,0.395
mbpp/29,mbpp_sanitized,llama-3.3-70b,PASS,None,0.426
mbpp/30,mbpp_sanitized,llama-3.3-70b,PASS,None,0.504
mbpp/31,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.455
mbpp/32,mbpp_sanitized,llama-3.3-70b,PASS,None,0.356
mbpp/33,mbpp_sanitized,llama-3.3-70b,PASS,None,0.244
mbpp/34,mbpp_sanitized,llama-3.3-70b,PASS,None,0.346
mbpp/35,mbpp_sanitized,llama-3.3-70b,PASS,None,0.223
mbpp/36,mbpp_sanitized,llama-3.3-70b,FAIL,IndexError,0.497
mbpp/37,mbpp_sanitized,llama-3.3-70b,PASS,None,0.559
mbpp/38,mbpp_sanitized,llama-3.3-70b,PASS,None,0.381
mbpp/39,mbpp_sanitized,llama-3.3-70b,PASS,None,0.672
mbpp/40,mbpp_sanitized,llama-3.3-70b,PASS,None,0.633
mbpp/41,mbpp_sanitized,llama-3.3-70b,PASS,None,0.307
mbpp/42,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.452
mbpp/43,mbpp_sanitized,llama-3.3-70b,PASS,None,0.385
mbpp/44,mbpp_sanitized,llama-3.3-70b,PASS,None,0.309
mbpp/45,mbpp_sanitized,llama-3.3-70b,PASS,None,0.409
mbpp/46,mbpp_sanitized,llama-3.3-70b,PASS,None,0.255
mbpp/47,mbpp_sanitized,llama-3.3-70b,PASS,None,0.374
mbpp/48,mbpp_sanitized,llama-3.3-70b,PASS,None,0.348
mbpp/49,mbpp_sanitized,llama-3.3-70b,PASS,None,0.315
mbpp/50,mbpp_sanitized,llama-3.3-70b,PASS,None,0.418
mbpp/51,mbpp_sanitized,llama-3.3-70b,PASS,None,0.29
mbpp/52,mbpp_sanitized,llama-3.3-70b,PASS,None,0.265
mbpp/53,mbpp_sanitized,llama-3.3-70b,PASS,None,0.36
mbpp/54,mbpp_sanitized,llama-3.3-70b,PASS,None,0.39
mbpp/55,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.526
mbpp/56,mbpp_sanitized,llama-3.3-70b,PASS,None,0.287
mbpp/57,mbpp_sanitized,llama-3.3-70b,PASS,None,0.527
mbpp/58,mbpp_sanitized,llama-3.3-70b,PASS,None,0.326
mbpp/59,mbpp_sanitized,llama-3.3-70b,PASS,None,0.272
mbpp/60,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.459
mbpp/61,mbpp_sanitized,llama-3.3-70b,PASS,None,0.432
mbpp/62,mbpp_sanitized,llama-3.3-70b,PASS,None,0.247
mbpp/63,mbpp_sanitized,llama-3.3-70b,PASS,None,0.398
mbpp/64,mbpp_sanitized,llama-3.3-70b,PASS,None,0.296
mbpp/65,mbpp_sanitized,llama-3.3-70b,PASS,None,0.421
mbpp/66,mbpp_sanitized,llama-3.3-70b,PASS,None,0.298
mbpp/67,mbpp_sanitized,llama-3.3-70b,PASS,None,0.568
mbpp/68,mbpp_sanitized,llama-3.3-70b,PASS,None,0.528
mbpp/69,mbpp_sanitized,llama-3.3-70b,PASS,None,0.334
mbpp/70,mbpp_sanitized,llama-3.3-70b,PASS,None,0.347
mbpp/71,mbpp_sanitized,llama-3.3-70b,PASS,None,0.598
mbpp/72,mbpp_sanitized,llama-3.3-70b,PASS,None,0.354
mbpp/73,mbpp_sanitized,llama-3.3-70b,PASS,None,0.311
mbpp/74,mbpp_sanitized,llama-3.3-70b,PASS,None,0.475
mbpp/75,mbpp_sanitized,llama-3.3-70b,PASS,None,0.431
mbpp/76,mbpp_sanitized,llama-3.3-70b,PASS,None,0.339
mbpp/77,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.334
mbpp/78,mbpp_sanitized,llama-3.3-70b,PASS,None,0.399
mbpp/79,mbpp_sanitized,llama-3.3-70b,PASS,None,0.254
mbpp/80,mbpp_sanitized,llama-3.3-70b,PASS,None,0.746
mbpp/81,mbpp_sanitized,llama-3.3-70b,PASS,None,0.387
mbpp/82,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.568
mbpp/83,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.262
mbpp/84,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.39
mbpp/85,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.34
mbpp/86,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.248
mbpp/87,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.322
mbpp/88,mbpp_sanitized,llama-3.3-70b,PASS,None,0.297
mbpp/89,mbpp_sanitized,llama-3.3-70b,PASS,None,0.285
mbpp/90,mbpp_sanitized,llama-3.3-70b,PASS,None,0.249
mbpp/91,mbpp_sanitized,llama-3.3-70b,PASS,None,0.329
mbpp/92,mbpp_sanitized,llama-3.3-70b,PASS,None,0.445
mbpp/93,mbpp_sanitized,llama-3.3-70b,PASS,None,0.289
mbpp/94,mbpp_sanitized,llama-3.3-70b,PASS,None,0.3
mbpp/95,mbpp_sanitized,llama-3.3-70b,PASS,None,0.263
mbpp/96,mbpp_sanitized,llama-3.3-70b,PASS,None,0.273
mbpp/97,mbpp_sanitized,llama-3.3-70b,PASS,None,0.396
mbpp/98,mbpp_sanitized,llama-3.3-70b,PASS,None,0.303
mbpp/99,mbpp_sanitized,llama-3.3-70b,PASS,None,0.269
mbpp/100,mbpp_sanitized,llama-3.3-70b,PASS,None,0.314
mbpp/101,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.352
mbpp/102,mbpp_sanitized,llama-3.3-70b,PASS,None,0.293
mbpp/103,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.507
mbpp/104,mbpp_sanitized,llama-3.3-70b,PASS,None,0.358
mbpp/105,mbpp_sanitized,llama-3.3-70b,PASS,None,0.267
mbpp/106,mbpp_sanitized,llama-3.3-70b,PASS,None,0.287
mbpp/107,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.367
mbpp/108,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.651
mbpp/109,mbpp_sanitized,llama-3.3-70b,PASS,None,0.449
mbpp/110,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.633
mbpp/111,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.423
mbpp/112,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.31
mbpp/113,mbpp_sanitized,llama-3.3-70b,PASS,None,0.347
mbpp/114,mbpp_sanitized,llama-3.3-70b,PASS,None,0.591
mbpp/115,mbpp_sanitized,llama-3.3-70b,PASS,None,0.357
mbpp/116,mbpp_sanitized,llama-3.3-70b,PASS,None,0.377
mbpp/117,mbpp_sanitized,llama-3.3-70b,PASS,None,0.426
mbpp/118,mbpp_sanitized,llama-3.3-70b,PASS,None,0.268
mbpp/119,mbpp_sanitized,llama-3.3-70b,PASS,None,0.363
mbpp/120,mbpp_sanitized,llama-3.3-70b,PASS,None,0.331
mbpp/121,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.57
mbpp/122,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.507
mbpp/123,mbpp_sanitized,llama-3.3-70b,PASS,None,0.565
mbpp/124,mbpp_sanitized,llama-3.3-70b,FAIL,TypeError,0.356
mbpp/125,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.417
mbpp/126,mbpp_sanitized,llama-3.3-70b,FAIL,TypeError,0.385
mbpp/127,mbpp_sanitized,llama-3.3-70b,PASS,None,0.411
mbpp/128,mbpp_sanitized,llama-3.3-70b,PASS,None,0.304
mbpp/129,mbpp_sanitized,llama-3.3-70b,PASS,None,0.843
mbpp/130,mbpp_sanitized,llama-3.3-70b,PASS,None,0.448
mbpp/131,mbpp_sanitized,llama-3.3-70b,PASS,None,0.61
mbpp/132,mbpp_sanitized,llama-3.3-70b,PASS,None,0.405
mbpp/133,mbpp_sanitized,llama-3.3-70b,PASS,None,0.447
mbpp/134,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.375
mbpp/135,mbpp_sanitized,llama-3.3-70b,PASS,None,0.331
mbpp/136,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.71
mbpp/137,mbpp_sanitized,llama-3.3-70b,PASS,None,0.378
mbpp/138,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.586
mbpp/139,mbpp_sanitized,llama-3.3-70b,PASS,None,0.615
mbpp/140,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.47
mbpp/141,mbpp_sanitized,llama-3.3-70b,PASS,None,0.719
mbpp/142,mbpp_sanitized,llama-3.3-70b,PASS,None,0.495
mbpp/143,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.478
mbpp/144,mbpp_sanitized,llama-3.3-70b,PASS,None,0.52
mbpp/145,mbpp_sanitized,llama-3.3-70b,PASS,None,0.356
mbpp/146,mbpp_sanitized,llama-3.3-70b,PASS,None,0.352
mbpp/147,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.599
mbpp/148,mbpp_sanitized,llama-3.3-70b,PASS,None,0.491
mbpp/149,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.516
mbpp/150,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.358
mbpp/151,mbpp_sanitized,llama-3.3-70b,PASS,None,0.296
mbpp/152,mbpp_sanitized,llama-3.3-70b,PASS,None,0.487
mbpp/153,mbpp_sanitized,llama-3.3-70b,PASS,None,0.329
mbpp/154,mbpp_sanitized,llama-3.3-70b,PASS,None,0.332
mbpp/155,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.463
mbpp/156,mbpp_sanitized,llama-3.3-70b,PASS,None,0.313
mbpp/157,mbpp_sanitized,llama-3.3-70b,PASS,None,0.574
mbpp/158,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.474
mbpp/159,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.431
mbpp/160,mbpp_sanitized,llama-3.3-70b,PASS,None,0.45
mbpp/161,mbpp_sanitized,llama-3.3-70b,PASS,None,0.327
mbpp/162,mbpp_sanitized,llama-3.3-70b,PASS,None,0.332
mbpp/163,mbpp_sanitized,llama-3.3-70b,FAIL,NameError,0.369
mbpp/164,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.41
mbpp/165,mbpp_sanitized,llama-3.3-70b,PASS,None,0.64
mbpp/166,mbpp_sanitized,llama-3.3-70b,PASS,None,0.418
mbpp/167,mbpp_sanitized,llama-3.3-70b,PASS,None,0.388
mbpp/168,mbpp_sanitized,llama-3.3-70b,PASS,None,0.263
mbpp/169,mbpp_sanitized,llama-3.3-70b,PASS,None,0.408
mbpp/170,mbpp_sanitized,llama-3.3-70b,PASS,None,0.385
mbpp/171,mbpp_sanitized,llama-3.3-70b,PASS,None,0.308
mbpp/172,mbpp_sanitized,llama-3.3-70b,PASS,None,0.396
mbpp/173,mbpp_sanitized,llama-3.3-70b,PASS,None,0.418
mbpp/174,mbpp_sanitized,llama-3.3-70b,PASS,None,0.347
mbpp/175,mbpp_sanitized,llama-3.3-70b,PASS,None,0.394
mbpp/176,mbpp_sanitized,llama-3.3-70b,PASS,None,0.276
mbpp/177,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.418
mbpp/178,mbpp_sanitized,llama-3.3-70b,PASS,None,0.322
mbpp/179,mbpp_sanitized,llama-3.3-70b,PASS,None,0.452
mbpp/180,mbpp_sanitized,llama-3.3-70b,FAIL,NameError,0.978
mbpp/181,mbpp_sanitized,llama-3.3-70b,PASS,None,0.564
mbpp/182,mbpp_sanitized,llama-3.3-70b,FAIL,NameError,0.421
mbpp/183,mbpp_sanitized,llama-3.3-70b,PASS,None,0.395
mbpp/184,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.338
mbpp/185,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.44
mbpp/186,mbpp_sanitized,llama-3.3-70b,PASS,None,0.739
mbpp/187,mbpp_sanitized,llama-3.3-70b,PASS,None,0.619
mbpp/188,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.449
mbpp/189,mbpp_sanitized,llama-3.3-70b,PASS,None,0.323
mbpp/190,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.429
mbpp/191,mbpp_sanitized,llama-3.3-70b,PASS,None,0.329
mbpp/192,mbpp_sanitized,llama-3.3-70b,PASS,None,0.378
mbpp/193,mbpp_sanitized,llama-3.3-70b,PASS,None,0.278
mbpp/194,mbpp_sanitized,llama-3.3-70b,PASS,None,0.395
mbpp/195,mbpp_sanitized,llama-3.3-70b,PASS,None,0.541
mbpp/196,mbpp_sanitized,llama-3.3-70b,PASS,None,0.335
mbpp/197,mbpp_sanitized,llama-3.3-70b,PASS,None,0.346
mbpp/198,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.349
mbpp/199,mbpp_sanitized,llama-3.3-70b,PASS,None,0.302
mbpp/200,mbpp_sanitized,llama-3.3-70b,PASS,None,0.388
mbpp/201,mbpp_sanitized,llama-3.3-70b,PASS,None,0.249
mbpp/202,mbpp_sanitized,llama-3.3-70b,PASS,None,0.277
mbpp/203,mbpp_sanitized,llama-3.3-70b,PASS,None,0.277
mbpp/204,mbpp_sanitized,llama-3.3-70b,PASS,None,0.373
mbpp/205,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.51
mbpp/206,mbpp_sanitized,llama-3.3-70b,PASS,None,0.555
mbpp/207,mbpp_sanitized,llama-3.3-70b,PASS,None,0.543
mbpp/208,mbpp_sanitized,llama-3.3-70b,PASS,None,0.42
mbpp/209,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.368
mbpp/210,mbpp_sanitized,llama-3.3-70b,PASS,None,0.439
mbpp/211,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.445
mbpp/212,mbpp_sanitized,llama-3.3-70b,PASS,None,0.451
mbpp/213,mbpp_sanitized,llama-3.3-70b,PASS,None,0.357
mbpp/214,mbpp_sanitized,llama-3.3-70b,PASS,None,0.315
mbpp/215,mbpp_sanitized,llama-3.3-70b,PASS,None,0.433
mbpp/216,mbpp_sanitized,llama-3.3-70b,FAIL,TypeError,0.496
mbpp/217,mbpp_sanitized,llama-3.3-70b,PASS,None,0.428
mbpp/218,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.297
mbpp/219,mbpp_sanitized,llama-3.3-70b,FAIL,AssertionError,0.48
mbpp/220,mbpp_sanitized,llama-3.3-70b,PASS,None,0.36
mbpp/221,mbpp_sanitized,llama-3.3-70b,PASS,None,0.314
mbpp/222,mbpp_sanitized,llama-3.3-70b,PASS,None,0.356
mbpp/223,mbpp_sanitized,llama-3.3-70b,PASS,None,0.357
mbpp/224,mbpp_sanitized,llama-3.3-70b,PASS,None,0.321
mbpp/225,mbpp_sanitized,llama-3.3-70b,PASS,None,0.493
mbpp/226,mbpp_sanitized,llama-3.3-70b,PASS,None,0.351
mbpp/227,mbpp_sanitized,llama-3.3-70b,PASS,None,0.206
